0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
0000000001101000111100010110000000000000000000000000000000000000000000000000000000000 0000000000101000000000000110000000000000000000000000000000000000000000000000001000000 # add x5, x6, x7 ; addi x1, x2, 0
1000000010001001001100011110000000000000000000000000000000000000000000000000000000000 1110000011101001111100110110000000000000000000000000000000000000000000000000001000000 # xor x7, x8, x9 ; and x13, x14, x15
0001100000000000000000000110000000000000110010000000000000000000000000000000000000000 0001110000000000000000001010000000000001100100000000000000000000000000000000001000000 # lui x1, 100    ; auipc x2, 200
